slug,travis id,commits passed,commits failed,pr passed,pr failed
pculture/unisubs,133943,0,0,0,0
mozilla/addon-sdk,26202,0,57,0,100
netty/netty,389878,12,17,2,1
MovingBlocks/Terasology,94717,0,0,0,0
spree/spree_reviews,54362,59,28,17,15
gwu-libraries/launchpad,807414,114,30,124,9
puppetlabs/puppet-docs,21724,0,0,0,0
mozilla/socorro,26398,0,0,0,0
mozilla/bedrock,26337,0,0,0,0
grails/grails-core,20833,0,0,0,0
ipython/ipython,74567,1506,126,3570,845
zendframework/zf2-documentation,137221,0,0,0,0
travis-ci/travis-core,3323,1794,659,499,229
saltstack/salt,12292,2754,5024,0,0
ooici/coi-services,155448,0,0,0,0
rails/rails,891,5767,3715,2450,1337
infinispan/infinispan,245044,0,0,0,0
cakephp/docs,38083,0,0,0,0
fog/fog,27342,968,276,1393,550
gradle/gradle,169501,51,2,0,0
mperham/sidekiq,7939,594,115,462,124
ooici/ion-definitions,155446,0,0,0,0
github/github-services,419,1,2,0,0
ceylon/ceylon-ide-eclipse,108072,0,0,0,0
mongodb/docs,20763,0,0,0,0
allegro/ralph,192806,33,11,54,15
jruby/jruby,10075,1651,1330,293,307
elasticsearch/elasticsearch,84396,11,61,14,3
Catrobat/Catroid,875464,0,0,0,0
bigbluebutton/bigbluebutton,453806,0,0,0,0
sunlightlabs/openstates,25041,0,0,0,0
square/okhttp,132351,501,343,319,251
sferik/twitter,100399,651,131,109,23
ooici/pyon,155445,0,0,0,0
geoserver/geoserver,365717,78,182,39,211
Sage-Bionetworks/SynapseWebClient,1269957,0,0,0,0
puppetlabs/facter,21726,464,9,430,112
sampsyo/beets,10355,778,43,329,43
gitlabhq/gitlabhq,3723,1915,1414,1217,1204
twitter/commons,51866,48,356,17,162
Shopify/liquid,576,272,87,170,56
Sage-Bionetworks/Synapse-Repository-Services,1269960,0,0,0,0
kivy/kivy,289210,0,17,0,17
OpenMDAO/OpenMDAO-Framework,1393053,0,0,0,0
matplotlib/matplotlib,60356,547,493,1059,1165
nuxeo/nuxeo-core,1388728,0,0,0,0
tangentlabs/django-oscar,10386,1546,470,657,223
spree/spree,2286,1097,2282,132,402
forge/core,367056,0,0,0,0
sympy/sympy,77015,814,77,2962,2147
dimagi/commcare-hq,85511,2842,749,2840,773
eucalyptus/eucalyptus,953207,0,0,0,0
alphagov/smart-answers,26161,0,0,0,0
rtfd/readthedocs.org,50396,589,123,145,32
rcbops/chef-cookbooks,881682,0,0,0,0
droolsjbpm/drools,806876,0,0,0,0
gregbell/active_admin,407,822,193,941,453
naparuba/shinken,231191,0,0,0,0
osmandapp/Osmand,510510,0,0,0,0
dmwm/WMCore,1577951,0,0,0,0
bndtools/bnd,738643,0,0,0,0
ruby/ruby,4231,6982,732,462,33
DIRACGrid/DIRAC,663845,0,0,0,0
gem/oq-engine,338435,0,0,0,0
tablexi/nucore-open,285566,0,0,0,0
BaseXdb/basex,8236,313,43,0,0
isenseDev/rSENSE,1278037,438,29,499,78
mozilla/zamboni,26191,0,0,0,0
adhearsion/adhearsion,6230,261,572,62,79
mne-tools/mne-python,386476,264,13,473,185
alphagov/publisher,26150,0,55,0,19
thoughtbot/paperclip,898,338,269,137,111
hazelcast/hazelcast,1073173,0,0,0,0
projectblacklight/blacklight,133138,561,180,270,132
prawnpdf/prawn,211590,313,35,153,49
geotools/geotools,1046777,170,126,83,49
rightscale/right_link,116690,0,0,0,0
tomchristie/django-rest-framework,101358,1281,147,988,276
buildbot/buildbot,118394,224,67,228,191
rcbops-cookbooks/nova,1128671,0,0,0,0
threerings/playn,214320,165,9,5,1
alphagov/govuk_content_models,26131,169,20,65,10
CloudifySource/cloudify,36256,3775,1011,72,14
hibernate/hibernate-orm,376293,0,0,0,0
mcMMO-Dev/mcMMO,401923,130,14,31,7
pydata/pandas,53976,2559,657,1064,421
cloudfoundry/cloud_controller_ng,139061,889,348,176,78
unepwcmc/SAPI,100680,924,155,0,0
spree/spree_gateway,54358,69,72,25,25
pyne/pyne,415577,0,14,0,0
JetBrains/kotlin,380340,0,0,0,0
DSpace/DSpace,678785,306,9,383,17
concerto/concerto,1021,1421,145,201,33
akvo/akvo-rsr,490906,0,0,0,0
MagLev/maglev,55041,219,181,89,83
4teamwork/ftw.book,682102,0,0,0,0
praekelt/vumi,92720,732,300,489,233
AIFDR/inasafe,218632,0,0,0,0
nuxeo/nuxeo-features,1388731,0,0,0,0
puppetlabs/puppetlabs-firewall,21752,143,9,150,55
alphagov/whitehall,26167,979,821,0,2
eaudeweb/cites-meetings,324983,0,0,0,0
xwiki/xwiki-platform,723910,0,0,0,0
openSUSE/open-build-service,54205,1243,587,298,200
puppetlabs/puppetlabs-apache,21723,224,2,634,159
cloudera/hue,21855,0,0,0,0
vim-jp/vim-jp.github.com,294655,123,6,7,0
OpenGamma/OG-Platform,290274,0,0,0,0
learning-unlimited/ESP-Website,1058742,188,541,94,253
cucumber/cucumber-jvm,8013,384,94,223,32
opscode/omnibus-chef,143058,0,0,0,0
Athas/EggsML,1097948,0,0,0,0
JetBrains/intellij-community,380334,0,0,0,0
4teamwork/ftw.tabbedview,682059,0,0,0,0
cwi-swat/rascal,133708,0,0,0,0
imagej/imagej,549483,0,0,0,0
plone/buildout.coredev,50943,0,0,0,0
alphagov/govspeak,26130,6,0,2,0
ceylon/ceylon-compiler,108069,0,0,0,0
tomahawk-player/tomahawk-android,417625,0,0,0,0
griddynamics/jagger,179352,0,0,0,0
mozilla-services/android-sync,39022,0,0,0,0
rightscale/right_support,116706,0,0,0,0
openmicroscopy/openmicroscopy,380237,934,24,2293,120
enthought/enstaller,61826,290,88,141,30
rhomobile/rhomobile-docs,146180,0,0,0,0
Jasig/uPortal,209517,71,15,49,2
ceph/teuthology,448888,0,0,0,0
opscode/omnibus-ruby,143060,178,13,114,14
commonsense/conceptnet5,1363917,0,0,0,0
fiji/fiji,549473,0,0,0,0
opscode/omnibus-software,143061,0,0,0,0
nuxeo/nuxeo-dm,1388730,0,0,0,0
plasmodic/ecto,1388626,0,0,0,0
HUSACCT/HUSACCT,982927,0,0,0,0
akvo/akvo-flow,490913,0,0,0,0
r888888888/danbooru,13407,0,2,0,0
railsgirls/railsgirls.github.com,66590,0,0,0,0
vmware-serengeti/serengeti-ws,631238,0,0,0,0
4teamwork/ftw.poodle,682089,0,0,0,0
rightscale/right_agent,116707,0,0,0,0
socialcast/socialcast-command-line,10936,56,16,21,0
Freeseer/freeseer,388828,188,30,277,178
openmicroscopy/ome-documentation,380239,486,7,1005,37
alphagov/EFG,185138,216,35,24,4
