"`repo_id`","`contributors`"
"8","16"
"34","37"
"63","15"
"118","13"
"127","17"
"142","26"
"190","47"
"310","14"
"312","36"
"340","16"
"343","26"
"381","40"
"418","15"
"427","18"
"474","17"
"489","273"
"587","44"
"608","10"
"613","64"
"657","33"
"687","10"
"714","150"
"750","18"
"772","18"
"774","40"
"807","47"
"810","35"
"847","195"
"852","96"
"853","65"
"860","18"
"868","28"
"937","11"
"961","14"
"1005","190"
"1008","12"
"1065","13"
"1113","39"
"1142","15"
"1282","19"
"1299","43"
"1301","32"
"1334","37"
"1404","11"
"1523","40"
"1528","51"
"1536","18"
"1577","18"
"1580","18"
"1581","18"
"1593","18"
"1599","18"
"1624","18"
"1636","18"
"1642","18"
"1678","33"
"1799","10"
"1883","11"
"1957","14"
"1958","29"
"1965","30"
"1993","16"
"2010","18"
"2014","18"
"2017","18"
"2032","18"
"2033","18"
"2093","53"
"2202","29"
"2244","81"
"2247","13"
"2281","15"
"2306","18"
"2309","14"
"2315","11"
"2532","23"
"2539","311"
"2634","32"
"2713","12"
"2719","13"
"2812","28"
"2863","44"
"2888","11"
"2919","57"
"2938","170"
"2980","14"
"3083","41"
"3298","18"
"3299","18"
"3328","18"
"3329","29"
"3334","18"
"3339","18"
"3348","18"
"3361","18"
"3450","52"
"3465","104"
"3479","33"
"3594","55"
"3671","12"
"3680","16"
"3721","16"
"3732","15"
"3918","13"
"3923","18"
"3932","34"
"3944","15"
"4023","10"
"4068","22"
"4092","22"
"4095","10"
"4114","48"
"4179","40"
"4327","18"
"4333","15"
"4352","15"
"4477","79"
"4508","13"
"4563","18"
"4573","16"
"4660","226"
"4751","166"
"4765","15"
"4779","12"
"4798","29"
"4892","28"
"4927","12"
"5016","28"
"5106","15"
"5125","21"
"5138","21"
"5184","13"
"5210","19"
"5245","11"
"5323","24"
"5378","15"
"5400","44"
"5444","36"
"5465","11"
"5516","30"
"5520","440"
"5556","16"
"5591","195"
"5626","19"
"5640","11"
"5684","42"
"6026","17"
"6087","21"
"6129","301"
"6171","13"
"6186","54"
"6189","50"
"6413","338"
"6468","13"
"6553","29"
"6570","178"
"6584","271"
"6606","14"
"6648","12"
"6923","151"
"6966","12"
"6994","33"
"7058","14"
"7148","115"
"7233","14"
"7347","89"
"7511","16"
"7537","11"
"7550","10"
"7559","76"
"7575","13"
"7588","15"
"7608","15"
"7640","21"
"7698","11"
"7699","11"
"7728","30"
"7894","65"
"7933","46"
"7954","15"
"7979","12"
"8006","235"
"8127","20"
"8131","24"
"8381","22"
"8466","62"
"8612","11"
"8676","11"
"8703","104"
"8778","28"
"9095","24"
"9126","136"
"9174","13"
"9241","57"
"9354","14"
"9391","11"
"9427","12"
"9531","33"
"9585","17"
"9615","11"
"9774","12"
"9793","21"
"9807","17"
"9819","10"
"9840","12"
"10083","16"
"10182","15"
"10252","20"
"10269","13"
"10384","17"
"10412","14"
"10617","26"
"10646","31"
"10657","18"
"10667","10"
"10735","22"
"10773","26"
"10882","19"
"10916","16"
"11021","47"
"11108","13"
"11124","13"
"11321","47"
"11326","70"
"11379","118"
"11525","17"
"11602","21"
"11630","118"
"11638","11"
"11644","26"
"11660","32"
"11959","25"
"12031","108"
"12106","39"
"12132","10"
"12258","27"
"12333","39"
"12383","13"
"12392","409"
"12455","19"
"12631","12"
"12647","20"
"12666","45"
"12722","14"
"12747","10"
"12841","23"
"12885","12"
"13001","10"
"13021","80"
"13116","24"
"13296","18"
"13573","10"
"13665","10"
"13718","21"
"13860","21"
"13915","10"
"13998","13"
"14080","14"
"14184","28"
"14363","39"
"14398","53"
"14642","24"
"14901","25"
"14915","41"
"15058","11"
"15189","23"
"15299","41"
"15441","10"
"15664","10"
"15806","21"
"15841","27"
"15883","21"
"15985","30"
