slug,p of ct,residual 1,residual 2,residual 3,residual 4,measure of or,p of or
pculture/unisubs,NA,NA,NA,NA,NA,NA,NA
mozilla/addon-sdk,NA,NA,NA,NA,NA,NA,NA
netty/netty,NA,NA,NA,NA,NA,NA,NA
MovingBlocks/Terasology,NA,NA,NA,NA,NA,NA,NA
spree/spree_reviews,0.206232171153489,0.461087559591174,-0.760270329637092,-0.612993646507925,1.0107426930131,1.84915683554027,0.150065954001346
gwu-libraries/launchpad,0.00142282780849657,-0.874355371214448,0.909794711144413,2.15995228467496,-2.24749939168567,0.280131887033617,0.000702067074984436
puppetlabs/puppet-docs,NA,NA,NA,NA,NA,NA,NA
mozilla/socorro,NA,NA,NA,NA,NA,NA,NA
mozilla/bedrock,NA,NA,NA,NA,NA,NA,NA
grails/grails-core,NA,NA,NA,NA,NA,NA,NA
ipython/ipython,1.05655806720474e-26,3.67601286600919,-2.23497024713441,-8.40481608296774,5.11002397509637,2.825790809795,0
zendframework/zf2-documentation,NA,NA,NA,NA,NA,NA,NA
travis-ci/travis-core,0.0174137156792435,0.61291713799106,-1.12508374319563,-0.98491172923463,1.80792493203338,1.24954139968,0.0161507473277323
saltstack/salt,NA,NA,NA,NA,NA,NA,NA
ooici/coi-services,NA,NA,NA,NA,NA,NA,NA
rails/rails,3.60983330168762e-05,-1.36831477557034,2.16515174618075,1.745062512968,-2.76129821485874,0.847199490481231,3.15365089224029e-05
infinispan/infinispan,NA,NA,NA,NA,NA,NA,NA
cakephp/docs,NA,NA,NA,NA,NA,NA,NA
fog/fog,0.000141752188280226,1.52901911010428,-1.22345134648607,-2.5850615214672,2.06844831322788,1.38433658949672,0.000110137356208462
gradle/gradle,NA,NA,NA,NA,NA,NA,NA
mperham/sidekiq,0.0271675858510626,0.659195696839867,-0.725084586583927,-1.38563030212995,1.52412884306513,1.3858440744155,0.0231186349749817
ooici/ion-definitions,NA,NA,NA,NA,NA,NA,NA
github/github-services,NA,NA,NA,NA,NA,NA,NA
ceylon/ceylon-ide-eclipse,NA,NA,NA,NA,NA,NA,NA
mongodb/docs,NA,NA,NA,NA,NA,NA,NA
allegro/ralph,0.863125036150885,-0.15052547567836,0.120202029718367,0.275348655767214,-0.219879506470819,0.832605221811019,0.690691680140556
jruby/jruby,0.00380433464502721,0.813343558238317,-1.81292314787127,-0.886334842223449,1.97561895702737,1.30053851931691,0.00337213270741143
elasticsearch/elasticsearch,NA,NA,NA,NA,NA,NA,NA
Catrobat/Catroid,NA,NA,NA,NA,NA,NA,NA
bigbluebutton/bigbluebutton,NA,NA,NA,NA,NA,NA,NA
sunlightlabs/openstates,NA,NA,NA,NA,NA,NA,NA
square/okhttp,0.224776726612451,0.522143284838813,-0.635365300033661,-0.613484226223198,0.746512692546738,1.14919364993118,0.205280289975843
sferik/twitter,0.948024758998179,0.0297766749387279,-0.0724757320751784,-0.0661489013714964,0.161004882604697,1.05344279885593,0.835281240200899
ooici/pyon,NA,NA,NA,NA,NA,NA,NA
